8.704437840552556871e-01,2.100518883220733102e+00,0.000000000000000000e+00
7.862353338038220452e-01,2.074990807210697952e+00,0.000000000000000000e+00
6.572764154636498990e-01,2.230867884375832499e+00,0.000000000000000000e+00
5.788174872286617756e-01,2.267805131152272224e+00,0.000000000000000000e+00
5.384028270596363797e-01,2.292534216505582201e+00,0.000000000000000000e+00
4.531976316048174636e-01,2.349988110211430836e+00,0.000000000000000000e+00
3.713777094352536112e-01,2.395344472512966227e+00,0.000000000000000000e+00
1.446556047183172322e-01,2.501990367626321543e+00,0.000000000000000000e+00
4.828805936609997795e-02,2.517890962899899776e+00,0.000000000000000000e+00
-6.775514114388200143e-03,2.559611625449602190e+00,0.000000000000000000e+00
-1.643690299242734909e-01,2.644236362897432802e+00,0.000000000000000000e+00
-2.566890307805604343e-01,2.685751510990990631e+00,0.000000000000000000e+00
-3.374080304489579518e-01,2.685274434644122632e+00,0.000000000000000000e+00
-4.863327512145042553e-01,2.734646673202514755e+00,0.000000000000000000e+00
-5.934957410984983417e-01,2.735430106520652771e+00,0.000000000000000000e+00
